First Name,Last Name,Gender,Age,Email,Phone,College,Occupation Title,Average Pay,Highest Pay,Marital Status,Quote,Location
Steven,Moore,Male,20,s.moore@randatmail.com,898-580-1048,University of Florida,Securities Compliance Examiner,181645.32,244184.00,Married,You can observe a lot just by watching.,Illinois
Victoria,Crawford,Female,28,v.crawford@randatmail.com,926-594-1085,Indiana University Bloomington,Patent Attorney,170324.14,199225.00,Single,Life is a learning experience only if you learn.,Michigan
Tara,Morris,Female,24,t.morris@randatmail.com,322-518-1554,Ohio State University,Nurse Anesthetist (title 38),168287.36,207800.00,Single,You got to be careful if you don't know where you're going because you might not get there.,Michigan
James,Stewart,Male,26,j.stewart@randatmail.com,585-166-1702,University of Wisconsin-Madison,Patent Administrator,166874.05,187148.00,Married,Do or do not. There is no try.,Arizona
Naomi,Taylor,Female,29,n.taylor@randatmail.com,601-389-1597,Penn State University,Administrative Law Judge,163169.71,183425.00,Single,We choose our destiny in the way we treat others.,Wisconsin
Kristian,Perkins,Male,27,k.perkins@randatmail.com,474-573-1346,Clemson University,Technical Systems Program Manager,153384.09,199548.00,Single,Courage is going from failure to failure without losing enthusiasm.,Connecticut
Lily,Walker,Female,25,l.walker@randatmail.com,390-580-1844,Arizona State University,General Mathematican/Statistician,153383.31,241600.00,Married,Short words are best and the old words when short are best of all.,Ohio
Alina,Hamilton,Female,23,a.hamilton@randatmail.com,072-541-1860,University of Illinois Urbana-Champaign,Chief Engineer,151178.77,165164.00,Married,You have enemies? Good. That means you've stood up for something sometime in your life.,Texas
Jared,Ellis,Male,30,j.ellis@randatmail.com,121-091-1476,University of Georgia,Metallurgist,149602.23,187000.00,Married,Courage is what it takes to stand up and speak; courage is also what it takes to sit down and listen.,Louisiana
April,Murray,Female,18,a.murray@randatmail.com,685-623-1057,Purdue University,Patent Classifying,144385.10,169995.00,Married,History will be kind to me for I intend to write it.,Texas
Ned,Kelley,Male,18,n.kelley@randatmail.com,141-128-1166,University of Michigan,Astronomy and Space Scientist,141854.48,181562.00,Married,Think as a wise man but communicate in the language of the people.,Texas
Gianna,Cunningham,Female,27,g.cunningham@randatmail.com,294-685-1064,Texas A&M University,Program Manager,141691.94,334175.00,Single,When we seek to discover the best in others we somehow bring out the best in ourselves.,Florida
Eleanor,Sullivan,Female,29,e.sullivan@randatmail.com,074-615-1363,Brigham Young University,General Attorney,139209.77,287774.00,Married,Having nothing nothing can he lose.,Florida
Daryl,Armstrong,Male,25,d.armstrong@randatmail.com,188-097-1314,University of South Carolina,Mathematician,137429.97,258616.00,Married,Love all trust a few do wrong to none.,Kansas
Julian,Foster,Male,25,j.foster@randatmail.com,678-585-1997,University of Alabama,Physicist,137380.22,270400.00,Single,He that is giddy thinks the world turns round.,Minnesota
Charlie,Bailey,Male,27,c.bailey@randatmail.com,127-575-1672,University of Arizona,Financial Analyst,136575.52,286345.00,Married,Speak low if you speak love.,New York
Aiden,Moore,Male,21,a.moore@randatmail.com,667-486-1429,University of Central Florida,Patent Adviser,136010.67,161900.00,Married,Be great in act as you have been in thought.,Utah
Kevin,Hall,Male,22,k.hall@randatmail.com,109-877-1736,Michigan State University,Financial Manager,135006.47,255554.00,Married,Be not afraid of greatness: some are born great some achieve greatness and some have greatness thrust upon them.,New York
